"","modalidade","quantidade","porc","porc2","porc0"
"1","Homologada",233,3.46210995542348,3.46,3
"2","Não Homologada",28,0.416047548291233,0.42,0
"3","Interditada",0,0,0,0
"4","Dominial",0,0,0,0
"5","Reserva Indigena",0,0,0,0
"6","Proteção Integral",195,2.89747399702823,2.9,3
"7","Uso Sustentável",1273,18.9153046062407,18.92,19
"8","Militar",5,0.0742942050520059,0.07,0
"9","Outros Usos",4,0.0594353640416048,0.06,0
"10","Sem Destinação",431,6.40416047548291,6.4,6
"11","Assentamento ",1171,17.3997028231798,17.4,17
"12","Quilombola",40,0.594353640416048,0.59,1
"13","Urbanizada",72,1.06983655274889,1.07,1
"14","Rural-Minifúndio",1086,16.1367013372957,16.14,16
"15","Rural-Pequena",1068,15.8692421991085,15.87,16
"16","Rural-Média",611,9.07875185735513,9.08,9
"17","Rural-Grande",1731,25.7206537890045,25.72,26
"18","Sem Classificação",1910,28.3803863298663,28.38,28
