"","cr1","cr","q","s","porc","porc2","porc0"
"1","CSAR","1 Camada- sem área Rural",2534,"B",37.6523031203566,37.65,38
"2",NA,"Sem Classificação",1910,"1CSAR",28.3803863298663,28.38,28
"3","SD","Sem Destinação",288,"1CSAR",4.27934621099554,4.28,4
"4","PI","Proteção Integral",144,"1CSAR",2.13967310549777,2.14,2
"5","US","Uso Sustentável",101,"1CSAR",1.50074294205052,1.5,2
"6","U","Urbanizado",52,"1CSAR",0.772659732540862,0.77,1
"7","AS","Assentamento",24,"1CSAR",0.356612184249629,0.36,0
"8","MI","Militar",5,"1CSAR",0.0742942050520059,0.07,0
"9","OU","Outros Usos",4,"1CSAR",0.0594353640416048,0.06,0
"10","TIH","Terra Índigena Homologada",4,"1CSAR",0.0594353640416048,0.06,0
"11","Q","Quilombola",2,"1CSAR",0.0297176820208024,0.03,0
"12","CSAR2","2 Camadas-Sem Área Rural",296,"2CSAR",4.39821693907875,4.4,4
"13","CAR","1 Camada-somete de área Rural",2182,"C",32.4219910846954,32.42,32
"14","MF","Minifúndio",383,"1CR",5.69093610698366,5.69,6
"15","P","Pequena Propriedade Rural",575,"1CR",8.54383358098068,8.54,9
"16","M","Média Propriedade Rural",367,"1CR",5.45319465081724,5.45,5
"17","G","Grande Propriedade Rural",857,"1CR",12.7340267459138,12.73,13
"18","CR1","2-4 Camadas sobreepostas que contém  uma camada rural",1160,"CS1CR",17.2362555720654,17.24,17
"19","CR2","2-5 Camadas sobrepostas que contém duas camadas rurais",508,"CS2CR",7.5482912332838,7.55,8
"20","CR3","3-5 Camadas sobrepostas que contém três camadas rurais",45,"CS3CR",0.668647845468053,0.67,1
"21","TOT","Total",3895,"H",57.8751857355126,57.88,58
