est;modalidades;quantidade;
AC;Homologada;0;
AC;Não Homologada;0;
AC;Interditada;0;
AC;Dominial;0;
AC;Reserva Indigena;0;
AC;Proteção Integral;1;
AC;Uso Sustentável;139;
AC;Militar;37;
AC;Outros Usos;0;
AC;Sem Destinação;2;
AC;Assentamento ;177;
AC;Quilombola;0;
AC;Urbanizada;0;
AC;Rural-Minifúndio;170;
AC;Rural-Pequena;81;
AC;Rural-Média;37;
AC;Rural-Grande;85;
AC;Sem Classificação;27;
AM;Homologada;46;
AM;Não Homologada;1;
AM;Interditada;0;
AM;Dominial;0;
AM;Reserva Indigena;0;
AM;Proteção Integral;105;
AM;Uso Sustentável;293;
AM;Militar;0;
AM;Outros Usos;4;
AM;Sem Destinação;106;
AM;Assentamento ;222;
AM;Quilombola;0;
AM;Urbanizada;18;
AM;Rural-Minifúndio;127;
AM;Rural-Pequena;97;
AM;Rural-Média;43;
AM;Rural-Grande;311;
AM;Sem Classificação;562;
AP;Homologada;28;
AP;Não Homologada;0;
AP;Interditada;0;
AP;Dominial;0;
AP;Reserva Indigena;0;
AP;Proteção Integral;6;
AP;Uso Sustentável;86;
AP;Militar;0;
AP;Outros Usos;0;
AP;Sem Destinação;106;
AP;Assentamento ;77;
AP;Quilombola;5;
AP;Urbanizada;6;
AP;Rural-Minifúndio;10;
AP;Rural-Pequena;33;
AP;Rural-Média;70;
AP;Rural-Grande;67;
AP;Sem Classificação;61;
MA;Homologada;0;
MA;Não Homologada;0;
MA;Interditada;0;
MA;Dominial;0;
MA;Reserva Indigena;0;
MA;Proteção Integral;5;
MA;Uso Sustentável;0;
MA;Militar;2;
MA;Outros Usos;0;
MA;Sem Destinação;1;
MA;Assentamento ;5;
MA;Quilombola;1;
MA;Urbanizada;11;
MA;Rural-Minifúndio;20;
MA;Rural-Pequena;29;
MA;Rural-Média;11;
MA;Rural-Grande;31;
MA;Sem Classificação;85;
MT;Homologada;61;
MT;Não Homologada;2;
MT;Interditada;0;
MT;Dominial;0;
MT;Reserva Indigena;0;
MT;Proteção Integral;8;
MT;Uso Sustentável;64;
MT;Militar;0;
MT;Outros Usos;0;
MT;Sem Destinação;11;
MT;Assentamento ;77;
MT;Quilombola;0;
MT;Urbanizada;2;
MT;Rural-Minifúndio;120;
MT;Rural-Pequena;113;
MT;Rural-Média;110;
MT;Rural-Grande;379;
MT;Sem Classificação;159;
PA;Homologada;87;
PA;Não Homologada;25;
PA;Interditada;0;
PA;Dominial;0;
PA;Reserva Indigena;0;
PA;Proteção Integral;49;
PA;Uso Sustentável;615;
PA;Militar;3;
PA;Outros Usos;0;
PA;Sem Destinação;60;
PA;Assentamento ;530;
PA;Quilombola;32;
PA;Urbanizada;22;
PA;Rural-Minifúndio;388;
PA;Rural-Pequena;389;
PA;Rural-Média;156;
PA;Rural-Grande;644;
PA;Sem Classificação;572;
RR;Homologada;0;
RR;Não Homologada;0;
RR;Interditada;0;
RR;Dominial;0;
RR;Reserva Indigena;0;
RR;Proteção Integral;0;
RR;Uso Sustentável;9;
RR;Militar;0;
RR;Outros Usos;0;
RR;Sem Destinação;2;
RR;Assentamento ;3;
RR;Quilombola;0;
RR;Urbanizada;1;
RR;Rural-Minifúndio;4;
RR;Rural-Pequena;1;
RR;Rural-Média;5;
RR;Rural-Grande;9;
RR;Sem Classificação;10;
RO;Homologada;11;
RO;Não Homologada;0;
RO;Interditada;0;
RO;Dominial;0;
RO;Reserva Indigena;0;
RO;Proteção Integral;16;
RO;Uso Sustentável;36;
RO;Militar;0;
RO;Outros Usos;0;
RO;Sem Destinação;54;
RO;Assentamento ;62;
RO;Quilombola;2;
RO;Urbanizada;12;
RO;Rural-Minifúndio;140;
RO;Rural-Pequena;226;
RO;Rural-Média;52;
RO;Rural-Grande;122;
RO;Sem Classificação;164;
TO;Homologada;0;
TO;Não Homologada;0;
TO;Interditada;0;
TO;Dominial;0;
TO;Reserva Indigena;0;
TO;Proteção Integral;5;
TO;Uso Sustentável;31;
TO;Militar;0;
TO;Outros Usos;0;
TO;Sem Destinação;89;
TO;Assentamento ;17;
TO;Quilombola;0;
TO;Urbanizada;0;
TO;Rural-Minifúndio;107;
TO;Rural-Pequena;99;
TO;Rural-Média;127;
TO;Rural-Grande;83;
TO;Sem Classificação;270;
