;X;sobreposicao;quant_sob;quant_sit;porc;porc2;porc0
2;2;NA;0;1910;284.014.869.888.476;28.4;28
1;1;sd;1;288;428.252.788.104.089;4.28;4
3;3;mf;1;383;569.516.728.624.535;5.7;6
4;4;g;1;857;127.434.944.237.918;12.74;13
5;5;u;1;52;0.773234201;0.77;1
6;6;pi;1;144;214.126.394.052.045;2.14;2
7;7;m;1;367;545.724.907.063.197;5.46;5
8;8;p;1;575;855.018.587.360.595;8.55;9
9;9;as;1;24;0.356877323;0.36;0
10;10;us;1;101;150.185.873.605.948;1.5;2
11;11;ou;1;4;0.059479554;0.06;0
12;12;q;1;2;0.029739777;0.03;0
13;13;th;1;4;0.059479554;0.06;0
14;14;mi;1;5;0.074349442;0.07;0
15;15;pg;2;44;0.654275093;0.65;1
16;16;mg;2;50;0.743494424;0.74;1
17;17;sdp;2;37;0.550185874;0.55;1
18;18;usg;2;158;234.944.237.918.216;2.35;2
19;19;usmf;2;16;0.237918216;0.24;0
20;20;asp;2;66;0.981412639;0.98;1
21;21;sdm;2;12;0.178438662;0.18;0
22;22;sdg;2;43;0.639405204;0.64;1
23;23;sdmg;2;3;0.044609665;0.04;0
24;24;um;2;1;0.014869888;0.01;0
25;25;asmf;2;199;295.910.780.669.145;2.96;3
26;26;thus;2;223;331.598.513.011.152;3.32;3
27;27;sdmf;2;32;0.475836431;0.48;0
28;28;mfg;2;12;0.178438662;0.18;0
29;29;pig;2;38;0.565055762;0.57;1
30;30;usp;2;13;0.19330855;0.19;0
31;31;asus;2;38;0.565055762;0.57;1
32;32;mfp;2;40;0.594795539;0.59;1
33;33;assd;2;6;0.089219331;0.09;0
34;34;tnhus;2;20;0.29739777;0.3;0
35;35;pim;2;4;0.059479554;0.06;0
36;36;qus;2;1;0.014869888;0.01;0
37;37;pm;2;22;0.327137546;0.33;0
38;38;mfm;2;5;0.074349442;0.07;0
39;39;qp;2;13;0.19330855;0.19;0
40;40;up;2;1;0.014869888;0.01;0
41;41;usd;2;1;0.014869888;0.01;0
42;42;qg;2;2;0.029739777;0.03;0
43;43;usm;2;15;0.223048327;0.22;0
44;44;tnhsd;2;1;0.014869888;0.01;0
45;45;uas;2;1;0.014869888;0.01;0
46;46;qpi;2;4;0.059479554;0.06;0
47;47;asg;2;1;0.014869888;0.01;0
48;48;ug;2;2;0.029739777;0.03;0
49;49;pip;2;1;0.014869888;0.01;0
50;50;tnhpi;2;1;0.014869888;0.01;0
51;51;asusg;3;210;312.267.657.992.565;3.12;3
52;52;asmfp;3;36;0.535315985;0.54;1
53;53;asusmf;3;159;236.431.226.765.799;2.36;2
54;54;asusp;3;77;114.498.141.263.941;1.14;1
55;55;uspg;3;8;0.118959108;0.12;0
56;56;asusmg;3;41;0.609665428;0.61;1
57;57;uasmf;3;3;0.044609665;0.04;0
58;58;uusg;3;1;0.014869888;0.01;0
59;59;sdmfp;3;2;0.029739777;0.03;0
60;60;asusm;3;36;0.535315985;0.54;1
61;61;aspm;3;8;0.118959108;0.12;0
62;62;pipg;3;1;0.014869888;0.01;0
63;63;pimg;3;1;0.014869888;0.01;0
64;64;asmfm;3;10;0.148698885;0.15;0
65;65;asmfg;3;63;0.936802974;0.94;1
66;66;thusg;3;6;0.089219331;0.09;0
67;67;pipm;3;1;0.014869888;0.01;0
68;68;sdpm;3;2;0.029739777;0.03;0
69;69;aspg;3;17;0.252788104;0.25;0
70;70;usmfg;3;3;0.044609665;0.04;0
71;71;upm;3;1;0.014869888;0.01;0
72;72;qmfg;3;2;0.029739777;0.03;0
73;73;tnhusm;3;1;0.014869888;0.01;0
74;74;tnhusg;3;1;0.014869888;0.01;0
75;75;usmg;3;2;0.029739777;0.03;0
76;76;pmg;3;1;0.014869888;0.01;0
77;77;qpg;3;6;0.089219331;0.09;0
78;78;mfpg;3;2;0.029739777;0.03;0
79;79;mfpm;3;1;0.014869888;0.01;0
80;80;sdpg;3;3;0.044609665;0.04;0
81;81;sdmfm;3;1;0.014869888;0.01;0
82;82;asuspg;4;44;0.654275093;0.65;1
83;83;asusmfp;4;17;0.252788104;0.25;0
84;84;asqusg;4;8;0.118959108;0.12;0
85;85;asqmfp;4;2;0.029739777;0.03;0
86;86;asuspmg;4;2;0.029739777;0.03;0
87;87;asmfpg;4;13;0.19330855;0.19;0
88;88;asusmfg;4;49;0.728624535;0.73;1
89;89;asmfmg;4;13;0.19330855;0.19;0
90;90;uasmfg;4;1;0.014869888;0.01;0
91;91;uusmf;4;1;0.014869888;0.01;0
92;92;asuspm;4;2;0.029739777;0.03;0
93;93;asusmfm;4;1;0.014869888;0.01;0
94;94;aspmg;4;4;0.059479554;0.06;0
95;95;mfpmg;4;1;0.014869888;0.01;0
96;96;uasusmf;4;1;0.014869888;0.01;0
97;97;asusmfmg;5;3;0.044609665;0.04;0
98;98;asusmfpg;5;5;0.074349442;0.07;0
99;99;uasusmfg;5;6;0.089219331;0.09;0
100;100;tnhasusmfg;5;4;0.059479554;0.06;0
